country,street_name,gender,occupation_category
AT,Biraghigasse,female,other
AT,Birkenstockgasse,male,other
AT,Birnbaumgasse,male,other
AT,Birneckergasse,male,other
AT,Bischof-Faber-Platz,male,other
AT,Bischoffgasse,male,other
AT,Bitterlichstraße,male,other
AT,Björnsongasse,male,other
AT,Blaasstraße,male,other
AT,Blanche-Aubry-Weg,female,other
AT,Blaschkagasse,male,other
AT,Blaselgasse,male,other
AT,Blebanngasse,male,other
AT,Blechschmidtgasse,male,other
AT,Bleibtreustraße,male,other
AT,Bleichsteinerstraße,male,other
AT,Bleigasse,male,other
AT,Blériotgasse,male,other
AT,Bloch-Bauer-Promenade,female,other
AT,Bloschgasse,male,other
AT,Blumauergasse,male,other
AT,Blumberggasse,male,other
AT,Blümelhubergasse,male,other
AT,Bobiesgasse,male,other
AT,Bockbergergasse,male,other
AT,Böckhgasse,male,other
AT,Böckingstraße,male,other
AT,Böcklinstraße,male,other
AT,Bodenstedtgasse,male,other
AT,Bodmergasse,male,other
AT,Boërgasse,male,other
AT,Boerhaavegasse,male,other
AT,Bohattasteg,male,other
AT,Bohattaweg,male,other
AT,Böheimgasse,male,other
AT,Böhmgasse,male,other
AT,Böhmmühlgasse,male,other
AT,Bojanusgasse,male,other
AT,Boltensterngasse,male,other
AT,Boltzmanngasse,male,other
AT,Bombekgasse,male,other
AT,Bonitzgasse,male,other
AT,Bonygasse,male,other
AT,Borkowskigasse,male,other
AT,Börnergasse,male,other
AT,Börnsteingasse,male,other
AT,Borschkegasse,male,other
AT,Boschettigasse,male,other
AT,Boschstraße,male,other
AT,Bösendorferstraße,male,other
AT,Bossigasse,male,other
AT,Böttgerweg,male,other
AT,Bottoligasse,male,other
AT,Bowitschgasse,male,other
AT,Brabbéegasse,male,other
AT,Brachelligasse,male,other
AT,Brachtlgasse,male,other
AT,Braheplatz,male,other
AT,Brahmsplatz,male,other
AT,Brahmsweg,male,other
AT,Braillegasse,male,other
AT,Brambillagasse,male,other
AT,Brammergasse,male,other
AT,Brandgasse,male,other
AT,Brandmayergasse,male,other
AT,Brändströmgasse,female,other
AT,Brantinggasse,male,other
AT,Braumüllergasse,male,other
AT,Braungasse,male,other
AT,Braunhubergasse,male,other
AT,Braunschweigbrücke,male,other
AT,Braunschweiggasse,male,other
AT,Brausewettergasse,male,other
AT,Brechergasse,male,other
AT,Brehmstraße,male,other
AT,Brehmweg,male,other
AT,Breite Gasse,female,other
AT,Breiteneckergasse,male,other
AT,Breiter Weg,male,other
AT,Brennergasse,male,other
AT,Brestelgasse,male,other
AT,Bretschneidergasse,male,other
AT,Breuergasse,male,other
AT,Breuninggasse,male,other
AT,Brigittagasse,female,other
AT,Brigittapassage,female,other
AT,Brigittaplatz,female,other
AT,Brigitte-Neumeister-Platz,female,other
AT,Brockhausengasse,male,other
AT,Brockmanngasse,male,other
AT,Brosamergasse,male,other
AT,Broßmannplatz,male,other
AT,Brucknerstraße,male,other
AT,Brüder-Albert-Gasse,male,other
AT,Brüder-Albert-Gasse,male,other
AT,Brüder-Heindl-Gasse,male,other
AT,Brüder-Heindl-Gasse,male,other
AT,Brudermanngasse,female,other
AT,Brunhildengasse,female,other
AT,Brunner-Lehenstein-Gasse,male,other
AT,Bruno-Kreisky-Gasse,male,other
AT,Bruno-Kreisky-Platz,male,other
AT,Bruno-Marek-Allee,male,other
AT,Bruno-Pezzey-Weg,male,other
AT,Brüßlgasse,female,other
AT,Bubergasse,male,other
AT,Buchbindergasse,male,other
AT,Büchnergasse,male,other
AT,Buckalgasse,male,other
AT,Budaugasse,male,other
AT,Büdingergasse,male,other
AT,Budinskygasse,male,other
AT,Bühlerweg,male,other
AT,Bujattigasse,male,other
AT,Bukovicsgasse,male,other
AT,Bullagasse,male,other
AT,Bullgasse,male,other
AT,Bunsengasse,male,other
AT,Bureschgasse,male,other
AT,Bürgergasse,male,other
AT,Burgersteingasse,male,other
AT,Burghardtgasse,male,other
AT,Burgkmairgasse,male,other
AT,Burjanplatz,female,other
AT,Bussongasse,male,other
AT,Büttnergasse,male,other
AT,Calafattiplatz,male,other
AT,Camillo-Sitte-Gasse,male,other
AT,Canalettogasse,male,other
AT,Canavesegasse,male,other
AT,Canettistraße,male,other
AT,Canevalestraße,male,other
AT,Canisiusgasse,male,other
AT,Cankarstraße,male,other
AT,Canongasse,male,other
AT,Canovagasse,male,other
AT,Capistrangasse,male,other
AT,Carabelligasse,male,other
AT,Carl-Appel-Straße,male,other
AT,Carl-Auböck-Promenade,male,other
AT,Carl-Prohaska-Platz,male,other
AT,Carl-Reichert-Gasse,male,other
AT,Carl-Schlechter-Weg,male,other
AT,Carl-Szokoll-Platz,male,other
AT,Carl-von-Linde-Straße,male,other
AT,Carlbergergasse,male,other
AT,Carolaweg,female,other
AT,Carrogasse,male,other
AT,Cassinonestraße,male,other
AT,Castagnagasse,male,other
AT,Castellezgasse,male,other
AT,Castelligasse,male,other
AT,Castlegasse,male,other
AT,Cebotariweg,female,other
AT,Ceija-Stojka-Platz,female,other
AT,Celtesgasse,male,other
AT,Ceralegasse,female,other
AT,Cervantesgasse,male,other
AT,Chamissogasse,male,other
AT,Charasgasse,male,other
AT,Charausgasse,male,other
AT,Cherubinistraße,male,other
AT,Chiarigasse,male,other
AT,Chimanistraße,male,other
AT,Chlumberggasse,male,other
AT,Chmelgasse,male,other
AT,Chrastekgasse,male,other
AT,Christian-Broda-Platz,male,other
AT,Christian-Bucher-Gasse,male,other
AT,Christian-Petzlberger-Weg,male,other
AT,Christian-von-Arup-Gasse,male,other
AT,Christine-Enghaus-Weg,female,other
AT,Christine-Nöstlinger-Gasse,female,other
AT,Christine-Touaillon-Straße,female,other
AT,Christinengasse,female,other
AT,Christmanngasse,male,other
AT,Christophgasse,male,other
AT,Chrobakgasse,male,other
AT,Chromygasse,male,other
AT,Chrudnergasse,male,other
AT,Chrudnergasse,male,other
AT,Chvostekgasse,male,other
AT,Chwallagasse,male,other
AT,Cilli-Löwinger-Weg,female,other
AT,Cizekplatz,male,other
AT,Clara-Zetkin-Gasse,female,other
AT,Claretinergasse,male,other
AT,Claudia-Heill-Weg,female,other
AT,Clemens-Hofbauer-Platz,male,other
AT,Clemens-Holzmeister-Straße,male,other
AT,Clementinengasse,female,other
AT,Clerfaytgasse,male,other
AT,Clessgasse,male,other
AT,Clusiusgasse,male,other
AT,Cobdengasse,male,other
AT,Cobenzlgasse,male,other
AT,Colerusgasse,male,other
AT,Collmanngasse,male,other
AT,Colloredogasse,male,other
AT,Columbusgasse,male,other
AT,Columbusplatz,male,other
AT,Comeniusgasse,male,other
AT,Compars-Herrmann-Weg,male,other
AT,Conngasse,male,other
AT,Contiweg,male,other
